Orthogroups,Ornithorhynchus_anatinus,Callithrix_jacchus,Cercocebus_atys,Macaca_fascicularis,Macaca_mulatta,Macaca_nemestrina,Papio_anubis,Gorilla_gorilla,Pan_paniscus,Pan_troglodytes,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Equus_caballus,Sus_scrofa,Bos_taurus,Capra_hircus,Ovis_aries,Manis_javanica,Oryctolagus_cuniculus,Mus_musculus,Rattus_norvegicus,Cavia_porcellus,Heterocephalus_glaber,Monodelphis_domestica,Microcebus_murinus,Chlorocebus_sabaeus
Orthogroup_4680,ENSOANG00000031245,ENSCJAG00000000248,ENSCATG00000032794,ENSMFAG00000039686,ENSMMUG00000011094,ENSMNEG00000007934,ENSPANG00000020500,ENSGGOG00000027382,ENSPPAG00000027821,ENSPTRG00000009575,ENSG00000108932,ENSCAFG00000011086,ENSFCAG00000002704,ENSECAG00000009067,ENSSSCG00000017262,ENSBTAG00000003074,ENSCHIG00000018158,ENSOARG00000015264,108392405,ENSOCUG00000001594,ENSMUSG00000041920,ENSRNOG00000000245,ENSCPOG00000023177,ENSHGLG00100006423,ENSMODG00000004376,NA,ENSCSAG00000004226
Orthogroup_4681,ENSOANG00000007732,ENSCJAG00000048160,ENSCATG00000032263,ENSMFAG00000037919,ENSMMUG00000010904,ENSMNEG00000032963,ENSPANG00000049253,ENSGGOG00000000670,NA,ENSPTRG00000042570,ENSG00000034152,ENSCAFG00000018530,ENSFCAG00000014840,ENSECAG00000022242,ENSSSCG00000034379,ENSBTAG00000010576,ENSCHIG00000014144,ENSOARG00000002612,108392844,ENSOCUG00000004311,ENSMUSG00000018932,ENSRNOG00000065992,ENSCPOG00000000140,ENSHGLG00100013310,ENSMODG00000042585,ENSMICG00000014297,ENSCSAG00000007658
Orthogroup_4682,ENSOANG00000041469,NA,ENSCATG00000031540,ENSMFAG00000046022,ENSMMUG00000010913,ENSMNEG00000034811,ENSPANG00000032987,ENSGGOG00000007234,ENSPPAG00000029738,ENSPTRG00000010035,ENSG00000174448,ENSCAFG00000000149,ENSFCAG00000028138,ENSECAG00000011476,ENSSSCG00000004530,ENSBTAG00000008168,ENSCHIG00000015688,ENSOARG00000004834,108390050,ENSOCUG00000029013,ENSMUSG00000079608,ENSRNOG00000026324,ENSCPOG00000040582,NA,ENSMODG00000011055,NA,ENSCSAG00000018111
Orthogroup_4683,ENSOANG00000011452,ENSCJAG00000013358,ENSCATG00000028433,ENSMFAG00000036928,ENSMMUG00000009938,ENSMNEG00000034174,ENSPANG00000023354,ENSGGOG00000012380,ENSPPAG00000031681,NA,ENSG00000196535,ENSCAFG00000018868,ENSFCAG00000007047,ENSECAG00000020855,NA,NA,ENSCHIG00000011736,ENSOARG00000006006,108408267,ENSOCUG00000015290,ENSMUSG00000000631,ENSRNOG00000033101,ENSCPOG00000007502,ENSHGLG00100017910,ENSMODG00000019323,ENSMICG00000013997,ENSCSAG00000007039
Orthogroup_4684,ENSOANG00000012019,ENSCJAG00000004578,ENSCATG00000035277,NA,ENSMMUG00000010999,NA,NA,ENSGGOG00000016414,ENSPPAG00000028597,ENSPTRG00000010001,ENSG00000167220,ENSCAFG00000017573,ENSFCAG00000002788,ENSECAG00000012664,ENSSSCG00000005771,ENSBTAG00000011893,ENSCHIG00000015973,ENSOARG00000003542,108401257,ENSOCUG00000006979,ENSMUSG00000025421,ENSRNOG00000043171,ENSCPOG00000030325,ENSHGLG00100001289,ENSMODG00000044379,ENSMICG00000007864,ENSCSAG00000018007
Orthogroup_4685,ENSOANG00000009038,ENSCJAG00000018710,ENSCATG00000009041,ENSMFAG00000042651,ENSMMUG00000011252,ENSMNEG00000044569,NA,ENSGGOG00000013255,ENSPPAG00000035247,ENSPTRG00000005696,ENSG00000165487,ENSCAFG00000007172,ENSFCAG00000005990,ENSECAG00000016494,ENSSSCG00000024667,ENSBTAG00000015943,ENSCHIG00000019056,ENSOARG00000013561,108393042,ENSOCUG00000029502,ENSMUSG00000021973,ENSRNOG00000011168,ENSCPOG00000005345,ENSHGLG00100000670,ENSMODG00000008317,ENSMICG00000006910,ENSCSAG00000018052
Orthogroup_4686,ENSOANG00000004994,ENSCJAG00000008285,ENSCATG00000039068,ENSMFAG00000042249,ENSMMUG00000011473,ENSMNEG00000029969,ENSPANG00000006488,ENSGGOG00000026786,ENSPPAG00000034677,NA,ENSG00000152242,ENSCAFG00000017637,ENSFCAG00000030676,ENSECAG00000020333,ENSSSCG00000004500,ENSBTAG00000032964,ENSCHIG00000014294,ENSOARG00000003069,108394932,ENSOCUG00000009573,ENSMUSG00000047466,ENSRNOG00000017215,NA,ENSHGLG00100001525,ENSMODG00000003250,ENSMICG00000004834,ENSCSAG00000017972
Orthogroup_4687,ENSOANG00000009021,ENSCJAG00000022036,ENSCATG00000016968,ENSMFAG00000013561,ENSMMUG00000010522,ENSMNEG00000028389,ENSPANG00000003539,ENSGGOG00000016693,ENSPPAG00000019636,ENSPTRG00000044692,ENSG00000165474,ENSCAFG00000029537,ENSFCAG00000041697,NA,ENSSSCG00000031936,ENSBTAG00000017425,ENSCHIG00000004710,ENSOARG00000017089,108395696,ENSOCUG00000010156,ENSMUSG00000046352,ENSRNOG00000008855,ENSCPOG00000034192,ENSHGLG00100008633,ENSMODG00000024159,ENSMICG00000002850,ENSCSAG00000018586
Orthogroup_4688,ENSOANG00000015538,NA,ENSCATG00000035411,ENSMFAG00000042387,ENSMMUG00000010899,ENSMNEG00000029373,ENSPANG00000029368,ENSGGOG00000001621,ENSPPAG00000006776,ENSPTRG00000005881,ENSG00000198553,ENSCAFG00000004305,ENSFCAG00000031784,ENSECAG00000008284,ENSSSCG00000009388,ENSBTAG00000008176,ENSCHIG00000009570,ENSOARG00000008666,108383613,ENSOCUG00000003085,ENSMUSG00000046168,ENSRNOG00000021831,NA,NA,NA,ENSMICG00000007214,NA
Orthogroup_4689,ENSOANG00000015595,ENSCJAG00000017549,ENSCATG00000038160,ENSMFAG00000032425,ENSMMUG00000011308,ENSMNEG00000045105,ENSPANG00000009474,ENSGGOG00000008935,ENSPPAG00000034545,ENSPTRG00000005834,ENSG00000179630,ENSCAFG00000004602,ENSFCAG00000043479,ENSECAG00000018885,ENSSSCG00000009425,ENSBTAG00000016691,ENSCHIG00000023585,ENSOARG00000007534,108390940,ENSOCUG00000016531,ENSMUSG00000044350,ENSRNOG00000022094,ENSCPOG00000011253,ENSHGLG00100001314,ENSMODG00000014893,ENSMICG00000007643,ENSCSAG00000017785
Orthogroup_4690,ENSOANG00000009032,ENSCJAG00000041037,ENSCATG00000029266,ENSMFAG00000036769,ENSMMUG00000009912,ENSMNEG00000034148,ENSPANG00000032017,ENSGGOG00000004983,ENSPPAG00000003991,ENSPTRG00000005698,ENSG00000102678,ENSCAFG00000029890,ENSFCAG00000030874,ENSECAG00000018716,ENSSSCG00000009278,ENSBTAG00000048237,ENSCHIG00000020738,ENSOARG00000013453,108393043,ENSOCUG00000000732,ENSMUSG00000021974,ENSRNOG00000011471,NA,ENSHGLG00100000474,ENSMODG00000051310,ENSMICG00000006919,ENSCSAG00000018049
Orthogroup_4691,ENSOANG00000003824,ENSCJAG00000084858,ENSCATG00000036161,ENSMFAG00000033106,ENSMMUG00000010417,ENSMNEG00000041433,ENSPANG00000039023,ENSGGOG00000009354,NA,ENSPTRG00000010107,ENSG00000141668,ENSCAFG00000000032,NA,ENSECAG00000033234,ENSSSCG00000020859,ENSBTAG00000005985,ENSCHIG00000018855,ENSOARG00000004801,118970491,ENSOCUG00000004173,ENSMUSG00000024647,ENSRNOG00000013654,ENSCPOG00000002004,ENSHGLG00100013967,NA,ENSMICG00000013920,ENSCSAG00000018220
Orthogroup_4692,ENSOANG00000004983,ENSCJAG00000020745,ENSCATG00000038090,ENSMFAG00000037917,ENSMMUG00000011801,ENSMNEG00000028230,NA,ENSGGOG00000025951,ENSPPAG00000030236,ENSPTRG00000009938,ENSG00000154080,ENSCAFG00000018122,ENSFCAG00000003134,ENSECAG00000008182,ENSSSCG00000003721,ENSBTAG00000014082,ENSCHIG00000021685,ENSOARG00000006975,108391570,ENSOCUG00000004444,ENSMUSG00000047161,ENSRNOG00000015867,ENSCPOG00000010439,ENSHGLG00100001830,ENSMODG00000021515,ENSMICG00000002336,ENSCSAG00000017818
Orthogroup_4693,ENSOANG00000008745,ENSCJAG00000061059,ENSCATG00000012342,ENSMFAG00000034310,ENSMMUG00000011697,ENSMNEG00000030438,ENSPANG00000015545,ENSGGOG00000014440,ENSPPAG00000010176,ENSPTRG00000005948,ENSG00000152193,ENSCAFG00000031900,ENSFCAG00000032576,ENSECAG00000011364,ENSSSCG00000029113,NA,ENSCHIG00000013483,ENSOARG00000000201,108397249,ENSOCUG00000028116,ENSMUSG00000022120,ENSRNOG00000009690,ENSCPOG00000035300,ENSHGLG00100000340,ENSMODG00000001525,ENSMICG00000011548,ENSCSAG00000017565
Orthogroup_4694,ENSOANG00000021634,NA,ENSCATG00000025983,ENSMFAG00000032229,ENSMMUG00000011037,ENSMNEG00000028121,ENSPANG00000010058,ENSGGOG00000008152,ENSPPAG00000012434,ENSPTRG00000009988,ENSG00000141469,ENSCAFG00000017664,ENSFCAG00000025903,ENSECAG00000014487,ENSSSCG00000004492,ENSBTAG00000019870,NA,ENSOARG00000002395,108407526,ENSOCUG00000006758,ENSMUSG00000059336,ENSRNOG00000016753,ENSCPOG00000007979,ENSHGLG00100017849,NA,ENSMICG00000017496,ENSCSAG00000017952
Orthogroup_4695,ENSOANG00000028736,ENSCJAG00000012700,ENSCATG00000019972,ENSMFAG00000044197,ENSMMUG00000011968,ENSMNEG00000031932,ENSPANG00000023769,ENSGGOG00000015485,ENSPPAG00000029274,ENSPTRG00000008759,ENSG00000184544,ENSCAFG00000017443,ENSFCAG00000001840,ENSECAG00000018404,ENSSSCG00000017996,ENSBTAG00000005048,ENSCHIG00000017124,ENSOARG00000003306,108390187,ENSOCUG00000008066,ENSMUSG00000033044,ENSRNOG00000026548,ENSCPOG00000034427,ENSHGLG00100013668,ENSMODG00000001547,ENSMICG00000007907,ENSCSAG00000010246
Orthogroup_4696,ENSOANG00000015539,ENSCJAG00000008633,ENSCATG00000038413,ENSMFAG00000042055,ENSMMUG00000010898,ENSMNEG00000035416,ENSPANG00000021160,ENSGGOG00000001619,ENSPPAG00000039706,ENSPTRG00000031189,ENSG00000204977,ENSCAFG00000004308,ENSFCAG00000028107,ENSECAG00000011381,ENSSSCG00000009389,ENSBTAG00000008173,ENSCHIG00000010839,ENSOARG00000005980,108383614,ENSOCUG00000003083,ENSMUSG00000035235,ENSRNOG00000009075,ENSCPOG00000001929,ENSHGLG00100012956,ENSMODG00000024106,ENSMICG00000007210,ENSCSAG00000018614
Orthogroup_4697,ENSOANG00000001795,ENSCJAG00000001841,ENSCATG00000032627,ENSMFAG00000038588,ENSMMUG00000010914,ENSMNEG00000004827,ENSPANG00000007505,ENSGGOG00000001490,ENSPPAG00000015106,ENSPTRG00000010036,ENSG00000166845,ENSCAFG00000000147,ENSFCAG00000009985,ENSECAG00000043788,ENSSSCG00000004531,ENSBTAG00000008169,ENSCHIG00000022200,ENSOARG00000004845,108390049,ENSOCUG00000015283,ENSMUSG00000044906,ENSRNOG00000028677,ENSCPOG00000009526,ENSHGLG00100016485,ENSMODG00000025604,NA,ENSCSAG00000018117
Orthogroup_4698,ENSOANG00000014924,ENSCJAG00000003211,ENSCATG00000035480,ENSMFAG00000035829,ENSMMUG00000011376,ENSMNEG00000039401,ENSPANG00000004995,ENSGGOG00000015066,ENSPPAG00000028689,ENSPTRG00000005961,ENSG00000179399,ENSCAFG00000005311,ENSFCAG00000033514,ENSECAG00000019744,ENSSSCG00000031946,ENSBTAG00000008708,ENSCHIG00000012100,ENSOARG00000000553,108386270,ENSOCUG00000012280,ENSMUSG00000022112,ENSRNOG00000071105,ENSCPOG00000000080,ENSHGLG00100009090,NA,NA,NA
Orthogroup_4699,ENSOANG00000001796,ENSCJAG00000001851,ENSCATG00000033055,ENSMFAG00000011788,ENSMMUG00000010911,ENSMNEG00000041620,ENSPANG00000006450,ENSGGOG00000014321,ENSPPAG00000033244,ENSPTRG00000010034,ENSG00000101751,ENSCAFG00000000150,ENSFCAG00000039381,ENSECAG00000004436,ENSSSCG00000004529,ENSBTAG00000009129,ENSCHIG00000020002,ENSOARG00000004784,108390051,NA,ENSMUSG00000038425,ENSRNOG00000012111,ENSCPOG00000037626,ENSHGLG00100015176,ENSMODG00000011046,ENSMICG00000008976,ENSCSAG00000018108
Orthogroup_4700,ENSOANG00000005628,NA,ENSCATG00000030635,ENSMFAG00000045076,ENSMMUG00000011687,ENSMNEG00000026596,NA,ENSGGOG00000006133,ENSPPAG00000036483,ENSPTRG00000009941,ENSG00000134755,ENSCAFG00000018085,NA,ENSECAG00000007761,NA,ENSBTAG00000040584,ENSCHIG00000020827,ENSOARG00000006798,108394870,ENSOCUG00000012518,ENSMUSG00000024331,ENSRNOG00000039969,ENSCPOG00000005506,ENSHGLG00100018768,ENSMODG00000011103,ENSMICG00000004351,ENSCSAG00000017822
Orthogroup_4701,ENSOANG00000004635,ENSCJAG00000020543,ENSCATG00000008096,ENSMFAG00000044737,ENSMMUG00000010944,ENSMNEG00000032004,ENSPANG00000007820,ENSGGOG00000024673,ENSPPAG00000014077,ENSPTRG00000009913,ENSG00000141448,NA,ENSFCAG00000027069,ENSECAG00000023279,ENSSSCG00000003702,ENSBTAG00000005734,ENSCHIG00000018847,ENSOARG00000008269,108385802,NA,ENSMUSG00000005836,ENSRNOG00000023433,ENSCPOG00000026126,NA,ENSMODG00000021492,ENSMICG00000016622,ENSCSAG00000017663
Orthogroup_4702,ENSOANG00000003082,ENSCJAG00000004038,ENSCATG00000042189,ENSMFAG00000036909,ENSMMUG00000012001,ENSMNEG00000042685,ENSPANG00000009840,ENSGGOG00000016297,ENSPPAG00000036151,ENSPTRG00000010040,ENSG00000196628,ENSCAFG00000000140,ENSFCAG00000014682,ENSECAG00000017265,ENSSSCG00000004535,ENSBTAG00000016462,ENSCHIG00000019406,ENSOARG00000005018,108395142,ENSOCUG00000002669,ENSMUSG00000053477,ENSRNOG00000012405,ENSCPOG00000005267,ENSHGLG00100013160,ENSMODG00000020455,ENSMICG00000012305,ENSCSAG00000018141
Orthogroup_4703,ENSOANG00000004628,ENSCJAG00000017692,ENSCATG00000045340,ENSMFAG00000043030,ENSMMUG00000011593,ENSMNEG00000036862,ENSPANG00000007573,ENSGGOG00000002722,ENSPPAG00000034498,ENSPTRG00000005819,ENSG00000102760,NA,ENSFCAG00000038293,ENSECAG00000013151,ENSSSCG00000009434,NA,ENSCHIG00000021125,NA,108403732,ENSOCUG00000014903,ENSMUSG00000022018,NA,ENSCPOG00000035101,ENSHGLG00100014209,ENSMODG00000014805,ENSMICG00000017490,ENSCSAG00000017831
Orthogroup_4704,ENSOANG00000010142,ENSCJAG00000040371,ENSCATG00000016928,NA,NA,NA,ENSPANG00000019140,ENSGGOG00000002864,ENSPPAG00000037415,ENSPTRG00000009889,ENSG00000177150,ENSCAFG00000000173,ENSFCAG00000027849,ENSECAG00000007436,ENSSSCG00000030438,ENSBTAG00000009141,ENSCHIG00000000362,ENSOARG00000002183,108390502,ENSOCUG00000025221,ENSMUSG00000038121,ENSRNOG00000068859,ENSCPOG00000040006,ENSHGLG00100013984,ENSMODG00000039283,ENSMICG00000001418,ENSCSAG00000017488
Orthogroup_4705,ENSOANG00000020429,NA,ENSCATG00000017709,ENSMFAG00000033957,ENSMMUG00000011058,ENSMNEG00000034942,ENSPANG00000024452,ENSGGOG00000001869,ENSPPAG00000038424,ENSPTRG00000008567,ENSG00000141255,ENSCAFG00000032628,ENSFCAG00000028001,ENSECAG00000021504,ENSSSCG00000029709,ENSBTAG00000015763,ENSCHIG00000026957,ENSOARG00000016797,108392708,ENSOCUG00000011252,NA,ENSRNOG00000037307,ENSCPOG00000002324,ENSHGLG00100001890,ENSMODG00000037780,ENSMICG00000015662,ENSCSAG00000013730
Orthogroup_4706,ENSOANG00000045032,ENSCJAG00000000409,ENSCATG00000032273,ENSMFAG00000040992,ENSMMUG00000010707,ENSMNEG00000033376,ENSPANG00000021451,ENSGGOG00000017110,ENSPPAG00000040541,ENSPTRG00000009200,ENSG00000168610,ENSCAFG00000015213,ENSFCAG00000002154,ENSECAG00000016439,ENSSSCG00000017403,ENSBTAG00000021523,ENSCHIG00000020307,ENSOARG00000001511,108386068,ENSOCUG00000011034,ENSMUSG00000004040,ENSRNOG00000019742,ENSCPOG00000007939,ENSHGLG00100015442,ENSMODG00000028212,ENSMICG00000012015,ENSCSAG00000003215
Orthogroup_4707,ENSOANG00000048648,ENSCJAG00000003456,ENSCATG00000030453,ENSMFAG00000045721,ENSMMUG00000010402,ENSMNEG00000042288,ENSPANG00000006223,ENSGGOG00000016394,ENSPPAG00000031234,ENSPTRG00000010062,ENSG00000183287,ENSCAFG00000000093,ENSFCAG00000041810,ENSECAG00000008296,ENSSSCG00000004907,ENSBTAG00000008723,ENSCHIG00000000465,ENSOARG00000005777,108388201,ENSOCUG00000003209,ENSMUSG00000046318,ENSRNOG00000062986,ENSCPOG00000015287,ENSHGLG00100002262,ENSMODG00000020423,ENSMICG00000001944,ENSCSAG00000018174
Orthogroup_4708,ENSOANG00000005624,ENSCJAG00000020776,ENSCATG00000039095,ENSMFAG00000035735,ENSMMUG00000011690,ENSMNEG00000035829,ENSPANG00000009488,ENSGGOG00000013528,ENSPPAG00000036726,ENSPTRG00000009943,ENSG00000134765,ENSCAFG00000018070,ENSFCAG00000000646,ENSECAG00000013809,ENSSSCG00000003726,ENSBTAG00000019876,ENSCHIG00000006661,ENSOARG00000006732,108394871,ENSOCUG00000012534,ENSMUSG00000044322,ENSRNOG00000056258,ENSCPOG00000038286,ENSHGLG00100007009,ENSMODG00000011082,ENSMICG00000007794,ENSCSAG00000017834
Orthogroup_4709,ENSOANG00000005983,ENSCJAG00000008039,ENSCATG00000033072,ENSMFAG00000044643,ENSMMUG00000011329,ENSMNEG00000038296,ENSPANG00000005965,ENSGGOG00000008826,ENSPPAG00000038362,ENSPTRG00000010123,ENSG00000130856,ENSCAFG00000000017,ENSFCAG00000001780,ENSECAG00000005459,ENSSSCG00000023533,ENSBTAG00000017517,ENSCHIG00000000391,ENSOARG00000004433,108388371,ENSOCUG00000009378,ENSMUSG00000041258,ENSRNOG00000016303,ENSCPOG00000008424,ENSHGLG00100004852,ENSMODG00000012304,ENSMICG00000004031,ENSCSAG00000018240
Orthogroup_4710,ENSOANG00000010410,ENSCJAG00000003057,ENSCATG00000037510,ENSMFAG00000043259,ENSMMUG00000010169,ENSMNEG00000031497,ENSPANG00000005969,ENSGGOG00000013129,ENSPPAG00000033229,ENSPTRG00000010103,ENSG00000176225,ENSCAFG00000000037,ENSFCAG00000009192,ENSECAG00000009711,ENSSSCG00000032574,ENSBTAG00000013221,ENSCHIG00000009958,ENSOARG00000004884,108390547,ENSOCUG00000001384,ENSMUSG00000023066,ENSRNOG00000038200,ENSCPOG00000002661,ENSHGLG00100014411,ENSMODG00000021398,ENSMICG00000014111,ENSCSAG00000018219
Orthogroup_4711,ENSOANG00000001712,ENSCJAG00000003937,ENSCATG00000038456,ENSMFAG00000033483,ENSMMUG00000012916,ENSMNEG00000032126,ENSPANG00000006224,ENSGGOG00000002885,ENSPPAG00000042765,ENSPTRG00000010042,ENSG00000091157,ENSCAFG00000000133,ENSFCAG00000011414,ENSECAG00000007050,ENSSSCG00000004538,ENSBTAG00000004005,ENSCHIG00000002769,ENSOARG00000005109,108400611,ENSOCUG00000002512,ENSMUSG00000040560,ENSRNOG00000018387,ENSCPOG00000008220,ENSHGLG00100002413,ENSMODG00000020452,ENSMICG00000017318,ENSCSAG00000018146
Orthogroup_4712,ENSOANG00000005470,ENSCJAG00000020946,ENSCATG00000001692,ENSMFAG00000033588,ENSMMUG00000012332,ENSMNEG00000039614,ENSPANG00000023958,ENSGGOG00000034999,ENSPPAG00000028363,ENSPTRG00000005994,ENSG00000134882,ENSCAFG00000005799,ENSFCAG00000010224,NA,ENSSSCG00000009516,ENSBTAG00000005682,ENSCHIG00000023096,ENSOARG00000004044,108396339,ENSOCUG00000002025,ENSMUSG00000041765,ENSRNOG00000012710,ENSCPOG00000008599,ENSHGLG00100000728,ENSMODG00000007817,ENSMICG00000015209,ENSCSAG00000017510
Orthogroup_4713,ENSOANG00000014183,NA,ENSCATG00000033162,ENSMFAG00000041737,ENSMMUG00000012239,ENSMNEG00000039602,ENSPANG00000023452,ENSGGOG00000009690,ENSPPAG00000041981,ENSPTRG00000008921,ENSG00000109103,ENSCAFG00000018713,ENSFCAG00000008269,ENSECAG00000011487,ENSSSCG00000017761,ENSBTAG00000013096,ENSCHIG00000014140,ENSOARG00000018763,108396894,ENSOCUG00000013771,ENSMUSG00000002058,ENSRNOG00000011060,ENSCPOG00000002937,ENSHGLG00100019145,ENSMODG00000040910,ENSMICG00000016810,ENSCSAG00000007265
Orthogroup_4714,ENSOANG00000046910,ENSCJAG00000013111,ENSCATG00000043580,ENSMFAG00000046232,ENSMMUG00000012685,ENSMNEG00000003232,ENSPANG00000021374,ENSGGOG00000010707,ENSPPAG00000043945,NA,ENSG00000131467,ENSCAFG00000014716,ENSFCAG00000013130,ENSECAG00000012620,ENSSSCG00000017385,ENSBTAG00000019918,ENSCHIG00000007996,ENSOARG00000003731,108386071,ENSOCUG00000015986,ENSMUSG00000078652,ENSRNOG00000053448,ENSCPOG00000012552,ENSHGLG00100000357,ENSMODG00000051476,ENSMICG00000010398,ENSCSAG00000003352
Orthogroup_4715,ENSOANG00000003476,ENSCJAG00000019557,ENSCATG00000038229,ENSMFAG00000037544,ENSMMUG00000013313,ENSMNEG00000045279,ENSPANG00000019854,ENSGGOG00000010087,ENSPPAG00000039028,ENSPTRG00000009717,ENSG00000108669,ENSCAFG00000005506,ENSFCAG00000008608,ENSECAG00000024699,ENSSSCG00000017167,ENSBTAG00000006663,ENSCHIG00000018152,ENSOARG00000003538,108403586,ENSOCUG00000008965,ENSMUSG00000017132,ENSRNOG00000043381,ENSCPOG00000000741,ENSHGLG00100017332,ENSMODG00000001988,ENSMICG00000003243,ENSCSAG00000002370
Orthogroup_4716,ENSOANG00000009025,ENSCJAG00000004815,ENSCATG00000032538,ENSMFAG00000042564,ENSMMUG00000013367,ENSMNEG00000035133,ENSPANG00000009591,ENSGGOG00000015507,ENSPPAG00000035569,ENSPTRG00000005685,ENSG00000032742,ENSCAFG00000007250,ENSFCAG00000000852,ENSECAG00000009365,ENSSSCG00000009270,ENSBTAG00000014286,ENSCHIG00000020831,ENSOARG00000013877,108404095,ENSOCUG00000003414,ENSMUSG00000040040,ENSRNOG00000009278,ENSCPOG00000009162,ENSHGLG00100008106,ENSMODG00000008196,ENSMICG00000004618,ENSCSAG00000018115
Orthogroup_4717,ENSOANG00000015622,ENSCJAG00000014207,ENSCATG00000040026,ENSMFAG00000031500,ENSMMUG00000012663,ENSMNEG00000007683,ENSPANG00000000957,ENSGGOG00000011247,ENSPPAG00000034536,ENSPTRG00000006034,ENSG00000213995,ENSCAFG00000006076,ENSFCAG00000014787,ENSECAG00000009976,ENSSSCG00000029502,ENSBTAG00000011466,ENSCHIG00000025734,ENSOARG00000006848,108400087,ENSOCUG00000015545,ENSMUSG00000031505,ENSRNOG00000015021,ENSCPOG00000019974,ENSHGLG00100011350,NA,ENSMICG00000011311,ENSCSAG00000017467
Orthogroup_4718,ENSOANG00000009029,ENSCJAG00000004891,ENSCATG00000016370,ENSMFAG00000042073,ENSMMUG00000013370,ENSMNEG00000042530,ENSPANG00000001274,ENSGGOG00000016930,ENSPPAG00000041805,ENSPTRG00000005687,ENSG00000150456,ENSCAFG00000007231,ENSFCAG00000045168,ENSECAG00000018313,ENSSSCG00000031468,ENSBTAG00000047948,ENSCHIG00000018520,ENSOARG00000013823,108394096,NA,ENSMUSG00000021951,ENSRNOG00000009849,ENSCPOG00000011464,ENSHGLG00100007831,ENSMODG00000008216,ENSMICG00000004634,ENSCSAG00000018122
Orthogroup_4719,ENSOANG00000015623,ENSCJAG00000014187,ENSCATG00000033995,ENSMFAG00000033427,ENSMMUG00000012666,ENSMNEG00000042283,ENSPANG00000017574,ENSGGOG00000011255,ENSPPAG00000037983,ENSPTRG00000052254,ENSG00000134905,ENSCAFG00000006082,NA,ENSECAG00000016058,ENSSSCG00000031757,ENSBTAG00000011471,ENSCHIG00000018447,ENSOARG00000006892,108399894,NA,ENSMUSG00000056228,ENSRNOG00000014526,ENSCPOG00000024839,ENSHGLG00100018119,ENSMODG00000004534,ENSMICG00000011325,ENSCSAG00000017466
Orthogroup_4720,ENSOANG00000043693,ENSCJAG00000039942,ENSCATG00000033169,ENSMFAG00000001394,ENSMMUG00000012884,ENSMNEG00000043666,ENSPANG00000019265,ENSGGOG00000013935,ENSPPAG00000036403,ENSPTRG00000009774,ENSG00000183684,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000025134,ENSRNOG00000036687,ENSCPOG00000013710,ENSHGLG00100006949,ENSMODG00000003030,ENSMICG00000017403,ENSCSAG00000002216
Orthogroup_4721,ENSOANG00000050375,ENSCJAG00000018273,ENSCATG00000041951,ENSMFAG00000045096,ENSMMUG00000012890,ENSMNEG00000034220,ENSPANG00000019167,ENSGGOG00000013961,ENSPPAG00000035571,ENSPTRG00000030739,ENSG00000187531,ENSCAFG00000005891,ENSFCAG00000007807,ENSECAG00000019344,ENSSSCG00000034695,ENSBTAG00000000039,ENSCHIG00000016745,ENSOARG00000017788,108395248,NA,ENSMUSG00000025138,ENSRNOG00000036683,ENSCPOG00000001834,ENSHGLG00100016098,ENSMODG00000003076,ENSMICG00000017412,ENSCSAG00000002208
Orthogroup_4722,ENSOANG00000012163,ENSCJAG00000046418,ENSCATG00000033819,ENSMFAG00000040185,ENSMMUG00000012641,ENSMNEG00000001170,ENSPANG00000021411,ENSGGOG00000024604,ENSPPAG00000034086,ENSPTRG00000009223,ENSG00000176563,NA,ENSFCAG00000034560,ENSECAG00000026900,ENSSSCG00000040866,ENSBTAG00000019912,ENSCHIG00000027036,NA,108386074,NA,ENSMUSG00000078653,NA,ENSCPOG00000012545,NA,ENSMODG00000024176,ENSMICG00000010384,NA
Orthogroup_4723,ENSOANG00000014181,ENSCJAG00000012729,ENSCATG00000034161,ENSMFAG00000043947,ENSMMUG00000012240,ENSMNEG00000042986,ENSPANG00000023454,ENSGGOG00000009693,ENSPPAG00000042725,ENSPTRG00000008922,ENSG00000087111,ENSCAFG00000018715,NA,ENSECAG00000011743,ENSSSCG00000026706,ENSBTAG00000013098,ENSCHIG00000017663,ENSOARG00000000048,108396882,ENSOCUG00000013793,ENSMUSG00000041958,ENSRNOG00000011366,ENSCPOG00000015163,ENSHGLG00100018286,ENSMODG00000019256,ENSMICG00000016811,ENSCSAG00000007260
Orthogroup_4724,ENSOANG00000001710,ENSCJAG00000004012,ENSCATG00000032462,ENSMFAG00000042132,ENSMMUG00000012915,ENSMNEG00000028057,ENSPANG00000005885,ENSGGOG00000009301,ENSPPAG00000036223,ENSPTRG00000010041,ENSG00000091164,ENSCAFG00000000137,ENSFCAG00000022537,ENSECAG00000021822,ENSSSCG00000004537,ENSBTAG00000015731,ENSCHIG00000021510,ENSOARG00000005061,108400347,ENSOCUG00000002505,ENSMUSG00000024583,ENSRNOG00000018818,ENSCPOG00000032075,ENSHGLG00100000577,ENSMODG00000020454,NA,ENSCSAG00000018145
